ad,cl,dh,diff
DHD_15-12-18-21-17-17-172837,57.2,125.80000000000001,68.60000000000001
DHD_15-12-18-21-17-26-275845,47.8,102.80000000000001,55.000000000000014
DHD_15-12-18-21-17-24-599394,48.400000000000006,100.20000000000002,51.80000000000001
dig_17-12-18-14-58-18-804632,16.4,63.8,47.4
DHD_15-12-18-21-17-20-933238,28.400000000000002,74.60000000000001,46.2
DHD_15-12-18-21-17-11-873955,30.6,73.4,42.800000000000004
museumsbund_17-12-18-16-14-50-107227,24.8,62.60000000000001,37.80000000000001
careerjet_17-12-18-14-41-41-509846,24.2,60.800000000000004,36.60000000000001
careerjet_17-12-18-14-41-40-589932,24.2,60.800000000000004,36.60000000000001
museumsbund_17-12-18-16-14-47-123715,33.2,66.8,33.599999999999994
dig_17-12-18-14-58-21-261931,12.399999999999999,44.800000000000004,32.400000000000006
dig_17-12-18-14-58-06-620756,17.6,48.800000000000004,31.200000000000003
DHD_15-12-18-21-17-15-304191,27.0,58.2,31.200000000000003
DHD_15-12-18-21-17-25-444088,14.2,45.4,31.2
museumsbund_17-12-18-16-14-41-273347,28.6,58.6,30.0
dig_17-12-18-14-58-20-751300,16.8,46.400000000000006,29.600000000000005
museumsbund_17-12-18-16-14-41-029510,17.2,46.0,28.8
museumsbund_17-12-18-16-14-49-391030,26.599999999999998,55.4,28.8
DHD_15-12-18-21-17-20-734950,12.0,40.0,28.0
DHD_15-12-18-21-17-26-906323,24.2,52.199999999999996,27.999999999999996
DHD_15-12-18-21-17-21-725416,30.799999999999997,58.6,27.800000000000004
DHD_15-12-18-21-17-24-171847,30.0,57.0,27.0
DHD_15-12-18-21-17-13-794897,43.00000000000001,69.60000000000001,26.6
DHD_15-12-18-21-17-06-619659,39.4,66.0,26.6
DHD_15-12-18-21-17-28-009063,17.4,43.800000000000004,26.400000000000006
museumsbund_17-12-18-16-14-49-084987,23.799999999999997,50.2,26.400000000000006
dig_17-12-18-14-58-19-931988,44.800000000000004,70.8,25.999999999999993
DHD_15-12-18-21-17-07-427523,59.2,85.0,25.799999999999997
DHD_15-12-18-21-17-08-529375,38.6,62.800000000000004,24.200000000000003
dig_17-12-18-14-58-08-469980,14.6,38.60000000000001,24.000000000000007
DHD_15-12-18-21-17-27-395537,10.4,34.400000000000006,24.000000000000007
museumsbund_17-12-18-16-14-54-720257,36.0,60.0,24.0
museumsbund_17-12-18-16-14-45-507727,17.8,41.8,23.999999999999996
DHD_15-12-18-21-17-16-136426,30.0,53.2,23.200000000000003
DHD_15-12-18-21-17-04-992853,17.4,40.2,22.800000000000004
careerjet_17-12-18-14-41-51-747924,19.599999999999998,41.800000000000004,22.200000000000006
DHD_15-12-18-21-17-06-827312,16.0,38.2,22.200000000000003
DHD_15-12-18-21-17-05-950092,16.0,38.2,22.200000000000003
DHD_15-12-18-21-17-23-946252,11.399999999999999,33.6,22.200000000000003
museumsbund_17-12-18-16-14-51-549665,20.999999999999996,42.6,21.600000000000005
indeed_17-12-18-14-08-04-539998,35.0,56.6,21.6
jobstairs_17-12-18-16-11-32-726028,21.4,43.0,21.6
indeed_17-12-18-14-08-27-674276,21.999999999999996,43.2,21.200000000000006
DHD_15-12-18-21-17-19-480579,27.0,48.2,21.200000000000003
DHD_15-12-18-21-17-20-523728,20.2,40.2,20.000000000000004
indeed_17-12-18-14-11-48-706085,27.200000000000003,47.199999999999996,19.999999999999993
museumsbund_17-12-18-16-14-44-130363,15.999999999999998,35.2,19.200000000000003
DHD_15-12-18-21-17-25-020087,22.599999999999998,41.400000000000006,18.800000000000008
DHD_15-12-18-21-17-25-237755,20.2,39.0,18.8
DHD_15-12-18-21-17-17-793461,15.200000000000001,33.400000000000006,18.200000000000003
museumsbund_17-12-18-16-14-58-600187,17.0,35.00000000000001,18.000000000000007
museumsbund_17-12-18-16-14-54-919337,13.2,31.200000000000003,18.000000000000004
DHD_15-12-18-21-17-10-578153,44.400000000000006,62.2,17.799999999999997
DHD_15-12-18-21-17-14-857799,34.8,52.400000000000006,17.60000000000001
DHD_15-12-18-21-17-27-796603,18.4,35.800000000000004,17.400000000000006
DHD_15-12-18-21-17-14-436352,12.599999999999998,30.000000000000004,17.400000000000006
DHD_15-12-18-21-17-18-437954,13.399999999999999,30.8,17.400000000000002
DHD_15-12-18-21-17-07-895768,18.200000000000003,35.400000000000006,17.200000000000003
