place;jobs-cl;jobs-dh;jobs
Karlsruhe;0.0;0.0;248
Nürnberg;0.0;0.0;87
Berlin;0.0;0.0;423
Konstanz;0.0;0.0;13
Hannover;0.0;0.0;50
Köln;0.0;0.0;99
Hamburg;0.0;0.0;165
München;0.0;0.0;444
Stuttgart;0.0;0.0;267
Frankfurt am Main;0.0;0.0;214
Mannheim;0.0;0.0;49
Braunschweig;0.0;0.0;11
Darmstadt;0.0;0.0;25
Karlsruhe;0.0;0.0;248
Gernsbach;0.0;0.0;1
Schwerin;0.0;0.0;2
Neckarsulm;0.0;0.0;44
Düsseldorf;0.0;0.0;100
Essen;0.0;0.0;74
Aurich;0.0;0.0;1
Trier;0.0;0.0;19
Offenburg;0.0;0.0;8
Ettlingen;0.0;0.0;13
Limburgerhof;0.0;0.0;10
Bonn;0.0;0.0;72
Basel;0.0;0.0;2
Leipzig;0.0;0.0;63
Norderstedt;0.0;0.0;3
Wedel;0.0;0.0;1
Eschborn;0.0;0.0;16
Ravensburg;0.0;0.0;3
Saarbrücken;0.0;0.0;14
Leverkusen;0.0;0.0;10
Erfurt;0.0;0.0;7
Pforzheim;0.0;0.0;6
Wolfsburg;0.0;0.0;41
Kiel;0.0;0.0;9
Augsburg;0.0;0.0;33
Duisburg;0.0;0.0;8
Frankfurt;0.0;0.0;44
Krefeld;0.0;0.0;11
Bremen;0.0;0.0;22
Wien;0.0;0.0;7
Schierling;0.0;0.0;2
Ludwigsburg;0.0;0.0;31
Passau;0.0;0.0;12
Obersulm;0.0;0.0;4
Salem;0.0;0.0;2
Bielefeld;0.0;0.0;14
Rostock;0.0;0.0;10
Siegerland;0.0;0.0;1
Moosburg an der Isar;0.0;0.0;3
Wiesbaden;0.0;0.0;21
Böblingen;0.0;0.0;10
Leinfelden-Echterdingen;0.0;0.0;17
Minden;0.0;0.0;2
Heidelberg;0.0;0.0;14
Wuppertal;0.0;0.0;9
Landsberg am Lech;0.0;0.0;1
Remscheid;0.0;0.0;4
Mönchengladbach;0.0;0.0;2
Schwäbisch Hall;0.0;0.0;1
Heilbronn;0.0;0.0;6
Dortmund;0.0;0.0;28
Baden-Baden;0.0;0.0;12
Freiburg im Breisgau;0.0;0.0;6
Immenstaad am Bodensee;0.0;0.0;4
Jena;0.0;0.0;16
Unterhaching;0.0;0.0;4
Gescher;0.0;0.0;1
Lahr;0.0;0.0;1
Unterföhring;0.0;0.0;3
Hettstedt;0.0;0.0;1
Zürich;0.0;0.0;4
Herdecke;0.0;0.0;1
Walldorf;0.0;0.0;4
Bad Homburg vor der Höhe;0.0;0.0;3
Homberg;0.0;0.0;1
Aachen;0.0;0.0;66
Friedrichshafen;0.0;0.0;23
Forchheim;0.0;0.0;2
Deutschland;0.0;0.0;129
French;0.0;0.0;9
Renningen;0.0;0.0;54
Mainz;0.0;0.0;12
Jülich;0.0;0.0;5
Bad Neustadt an der Saale;0.0;0.0;9
Ingolstadt;0.0;0.0;56
