identifier,cl,dh,diff
absolventa_17-12-18-14-28-13-605786,51.199999999999996,73.60000000000001,22.400000000000013
absolventa_17-12-18-14-31-32-414451,33.2,49.2,16.0
absolventa_17-12-18-14-32-04-376113,18.8,31.6,12.8
absolventa_17-12-18-14-29-26-571940,20.8,33.599999999999994,12.799999999999994
absolventa_17-12-18-14-28-21-236900,20.8,33.599999999999994,12.799999999999994
absolventa_17-12-18-14-31-30-420542,22.4,34.8,12.399999999999999
absolventa_17-12-18-14-30-04-213805,16.4,26.4,10.0
absolventa_17-12-18-14-29-31-832566,29.2,38.4,9.2
absolventa_17-12-18-14-32-10-070762,22.0,30.799999999999997,8.799999999999997
absolventa_17-12-18-14-29-18-270716,3.0000000000000004,9.6,6.6
absolventa_17-12-18-14-28-11-760390,16.4,22.799999999999997,6.399999999999999
absolventa_17-12-18-14-31-28-455940,8.999999999999998,14.999999999999998,6.0
absolventa_17-12-18-14-29-53-496779,14.4,20.4,5.999999999999998
absolventa_17-12-18-14-28-51-385690,33.199999999999996,38.4,5.200000000000003
absolventa_17-12-18-14-32-08-040793,14.8,20.0,5.199999999999999
absolventa_17-12-18-14-31-28-853181,25.6,30.4,4.799999999999997
absolventa_17-12-18-14-31-47-721877,3.4,7.8,4.4
absolventa_17-12-18-14-31-56-654343,2.8,7.2,4.4
absolventa_17-12-18-14-31-54-162187,3.4,7.8,4.4
absolventa_17-12-18-14-28-12-189556,23.200000000000003,27.6,4.399999999999999
absolventa_17-12-18-14-31-33-656581,4.199999999999999,8.4,4.200000000000001
absolventa_17-12-18-14-31-56-237591,4.8,9.0,4.2
absolventa_17-12-18-14-31-55-803546,4.8,9.0,4.2
absolventa_17-12-18-14-30-34-648569,32.8,36.8,4.0
absolventa_17-12-18-14-31-29-986118,6.199999999999999,10.2,4.0
absolventa_17-12-18-14-30-04-801188,6.8,10.799999999999999,3.999999999999999
absolventa_17-12-18-14-31-31-875773,7.3999999999999995,11.399999999999999,3.999999999999999
absolventa_17-12-18-14-31-31-454269,7.3999999999999995,11.399999999999999,3.999999999999999
absolventa_17-12-18-14-30-05-222963,9.2,12.799999999999999,3.5999999999999996
absolventa_17-12-18-14-31-51-994103,14.399999999999999,17.999999999999996,3.599999999999998
absolventa_17-12-18-14-30-19-667915,14.399999999999999,17.999999999999996,3.599999999999998
absolventa_17-12-18-14-31-39-820886,6.4,9.6,3.1999999999999993
absolventa_17-12-18-14-28-49-934607,36.4,39.2,2.8000000000000043
absolventa_17-12-18-14-29-34-030203,5.8,8.6,2.8
absolventa_17-12-18-14-29-33-582525,5.8,8.6,2.8
absolventa_17-12-18-14-28-57-331405,33.2,36.0,2.799999999999997
absolventa_17-12-18-14-28-47-657049,9.0,11.4,2.4000000000000004
absolventa_17-12-18-14-29-10-031573,11.4,13.8,2.4000000000000004
absolventa_17-12-18-14-28-22-196527,16.400000000000002,18.8,2.3999999999999986
absolventa_17-12-18-14-28-22-632840,16.400000000000002,18.8,2.3999999999999986
absolventa_17-12-18-14-31-15-488265,42.400000000000006,44.8,2.3999999999999915
absolventa_17-12-18-14-29-15-349056,42.400000000000006,44.8,2.3999999999999915
absolventa_17-12-18-14-30-07-359854,4.3999999999999995,6.6,2.2
absolventa_17-12-18-14-28-35-063716,1.4,3.6,2.2
absolventa_17-12-18-14-32-03-178031,2.0,4.2,2.2
absolventa_17-12-18-14-32-01-330204,3.8,6.0,2.2
absolventa_17-12-18-14-29-42-782735,2.0,4.2,2.2
absolventa_17-12-18-14-31-59-732975,0.8,3.0,2.2
absolventa_17-12-18-14-29-34-492425,2.5999999999999996,4.8,2.2
absolventa_17-12-18-14-31-49-399014,4.3999999999999995,6.6,2.2
absolventa_17-12-18-14-31-48-336533,3.2,5.4,2.2
absolventa_17-12-18-14-29-42-076136,2.0,4.2,2.2
absolventa_17-12-18-14-30-53-446921,1.4,3.5999999999999996,2.1999999999999997
absolventa_17-12-18-14-31-55-180409,6.0,8.2,2.1999999999999993
absolventa_17-12-18-14-31-53-587452,4.800000000000001,7.0,2.1999999999999993
absolventa_17-12-18-14-30-28-316531,4.0,6.0,2.0
absolventa_17-12-18-14-30-23-868612,4.0,6.0,2.0
absolventa_17-12-18-14-31-40-541509,4.6,6.6,2.0
absolventa_17-12-18-14-31-40-949443,4.6,6.6,2.0
absolventa_17-12-18-14-31-46-381212,5.8,7.8,2.0
absolventa_17-12-18-14-31-46-809309,5.8,7.8,2.0
absolventa_17-12-18-14-30-32-951249,12.000000000000002,14.000000000000002,2.0
absolventa_17-12-18-14-29-49-959075,12.000000000000002,14.000000000000002,2.0
absolventa_17-12-18-14-30-02-878715,9.0,11.0,2.0
absolventa_17-12-18-14-31-29-527068,2.8,4.8,2.0
absolventa_17-12-18-14-28-17-652459,47.2,48.800000000000004,1.6000000000000014
absolventa_17-12-18-14-28-18-077046,47.2,48.800000000000004,1.6000000000000014
absolventa_17-12-18-14-32-02-758694,4.6,6.2,1.6000000000000005
absolventa_17-12-18-14-30-54-568788,14.8,16.0,1.1999999999999993
absolventa_17-12-18-14-31-36-039980,4.4,5.4,1.0
absolventa_17-12-18-14-29-47-835074,3.1999999999999997,4.199999999999999,0.9999999999999996
absolventa_17-12-18-14-29-31-417432,3.8000000000000003,4.8,0.9999999999999996
