identifier,data-mining,sprachdialogsysteme,maschinelles-lernen,programmierung,markup,semantic-web,computerlinguistik,softskills,korpuslinguistik,datenbank,digitalisierung,geisteswissenschaften,digital-humanities,webdesign,digitale-edition,langzeitarchivierung
absolventa_15-12-18-20-44-27-832919,11.2,0.0,26.0,3.5999999999999996,0.0,0.0,0.0,1.2,0.0,4.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-11-146499,0.0,0.0,4.0,1.2,5.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-11-760390,2.8,0.0,0.0,0.0,2.6,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0
absolventa_17-12-18-14-28-12-189556,2.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.2,4.8,0.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-12-771319,5.6,0.0,10.0,4.8,0.0,0.0,0.0,0.6,0.0,1.6,0.0,3.0,0.0,1.0,2.4,0.0
absolventa_17-12-18-14-28-13-192266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.4,4.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-13-605786,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,19.2,0.0,0.0,0.0,2.4,0.0
absolventa_17-12-18-14-28-14-176220,30.799999999999997,1.0,26.0,1.2,0.0,0.0,0.0,1.2,0.0,1.6,0.0,6.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-14-596882,8.399999999999999,0.0,8.0,6.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0
absolventa_17-12-18-14-28-15-103720,2.8,0.0,12.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,0.0,4.8,0.0
absolventa_17-12-18-14-28-15-641746,5.6,0.0,4.0,7.199999999999999,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
absolventa_17-12-18-14-28-16-063248,2.8,0.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-16-666916,11.2,0.0,12.0,3.5999999999999996,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-17-090701,11.2,0.0,12.0,3.5999999999999996,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolventa_17-12-18-14-28-17-652459,2.8,0.0,8.0,0.0,0.0,0.0,0.0,1.2,0.0,6.4,2.4,0.0,0.0,0.0,0.0,3.6
