,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
1,3.0,1.0,1.0,0.0
10,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.0
12,1.0,1.0,1.0,1.0
125,0.0,0.0,1.0,0.0
13,1.0,1.0,1.0,0.0
13th,0.0,1.0,0.0,0.0
14,1.0,1.0,1.0,0.0
14th,0.0,1.0,0.0,0.0
15,2.0,1.0,1.0,0.0
15th,0.0,1.0,1.0,1.0
16,2.0,0.0,1.0,0.0
1647,0.0,1.0,0.0,0.0
16th,0.0,1.0,0.0,0.0
17,1.0,0.0,1.0,0.0
1730,0.0,1.0,0.0,0.0
1742,0.0,2.0,0.0,0.0
1760,1.0,0.0,0.0,0.0
1784,1.0,0.0,0.0,0.0
1785,1.0,0.0,0.0,0.0
1787,1.0,0.0,0.0,0.0
1789,1.0,0.0,0.0,0.0
1791,1.0,0.0,0.0,0.0
17th,0.0,1.0,0.0,0.0
18,1.0,0.0,1.0,0.0
1800,1.0,0.0,0.0,0.0
1803,1.0,0.0,0.0,0.0
1806,1.0,0.0,0.0,0.0
1810,1.0,0.0,0.0,0.0
1814,1.0,0.0,0.0,0.0
1818,1.0,0.0,0.0,0.0
1863,0.0,0.0,0.0,1.0
1876,0.0,1.0,0.0,0.0
1882,0.0,3.0,0.0,0.0
1883,0.0,1.0,0.0,0.0
1884,0.0,2.0,0.0,0.0
1892,0.0,0.0,0.0,1.0
1893,0.0,0.0,0.0,1.0
18th,0.0,0.0,1.0,1.0
19,1.0,0.0,1.0,0.0
1st,1.0,0.0,0.0,0.0
2,1.0,1.0,2.0,0.0
20,2.0,0.0,1.0,0.0
200,0.0,1.0,0.0,0.0
21,1.0,0.0,1.0,0.0
22,1.0,0.0,1.0,0.0
23,1.0,0.0,1.0,0.0
24,1.0,0.0,1.0,0.0
25,0.0,0.0,1.0,0.0
26,0.0,0.0,1.0,0.0
26th,0.0,0.0,1.0,0.0
27,0.0,0.0,1.0,0.0
2704,0.0,3.0,0.0,0.0
28,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
29th,1.0,0.0,0.0,0.0
2nd,0.0,0.0,0.0,1.0
3,1.0,2.0,1.0,0.0
30,0.0,0.0,1.0,0.0
31,0.0,0.0,1.0,0.0
32,0.0,0.0,1.0,0.0
33,0.0,0.0,1.0,0.0
34,0.0,0.0,1.0,0.0
35,0.0,0.0,1.0,0.0
36,0.0,0.0,1.0,0.0
37,0.0,0.0,1.0,0.0
38,0.0,0.0,1.0,0.0
39,0.0,0.0,1.0,0.0
4,1.0,1.0,1.0,0.0
40,0.0,0.0,1.0,0.0
41,0.0,0.0,1.0,1.0
42,0.0,0.0,1.0,0.0
43,0.0,0.0,1.0,0.0
44,0.0,0.0,1.0,0.0
45,0.0,0.0,1.0,0.0
46,0.0,0.0,1.0,0.0
47,0.0,0.0,1.0,0.0
470,0.0,0.0,0.0,1.0
48,0.0,0.0,1.0,0.0
49,0.0,0.0,1.0,0.0
5,3.0,1.0,1.0,0.0
50,0.0,0.0,1.0,0.0
51,0.0,0.0,1.0,0.0
52,0.0,0.0,1.0,0.0
