,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
1,0.003564342319436359,0.0016631186801490153,0.0008143985666585227,0.0
10,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0
11,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0
12,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0012977911594466219
125,0.0,0.0,0.0008143985666585227,0.0
13,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0
13th,0.0,0.0016631186801490153,0.0,0.0
14,0.0011881141064787862,0.0016631186801490153,0.0008143985666585227,0.0
14th,0.0,0.0016631186801490153,0.0,0.0
15,0.0023762282129575723,0.0016631186801490153,0.0008143985666585227,0.0
15th,0.0,0.0016631186801490153,0.0008143985666585227,0.0012977911594466219
16,0.0023762282129575723,0.0,0.0008143985666585227,0.0
1647,0.0,0.0016631186801490153,0.0,0.0
16th,0.0,0.0016631186801490153,0.0,0.0
17,0.0011881141064787862,0.0,0.0008143985666585227,0.0
1730,0.0,0.0016631186801490153,0.0,0.0
1742,0.0,0.0033262373602980307,0.0,0.0
1760,0.0011881141064787862,0.0,0.0,0.0
1784,0.0011881141064787862,0.0,0.0,0.0
1785,0.0011881141064787862,0.0,0.0,0.0
1787,0.0011881141064787862,0.0,0.0,0.0
1789,0.0011881141064787862,0.0,0.0,0.0
1791,0.0011881141064787862,0.0,0.0,0.0
17th,0.0,0.0016631186801490153,0.0,0.0
18,0.0011881141064787862,0.0,0.0008143985666585227,0.0
1800,0.0011881141064787862,0.0,0.0,0.0
1803,0.0011881141064787862,0.0,0.0,0.0
1806,0.0011881141064787862,0.0,0.0,0.0
1810,0.0011881141064787862,0.0,0.0,0.0
1814,0.0011881141064787862,0.0,0.0,0.0
1818,0.0011881141064787862,0.0,0.0,0.0
1863,0.0,0.0,0.0,0.0012977911594466219
1876,0.0,0.0016631186801490153,0.0,0.0
1882,0.0,0.004989356040447046,0.0,0.0
1883,0.0,0.0016631186801490153,0.0,0.0
1884,0.0,0.0033262373602980307,0.0,0.0
1892,0.0,0.0,0.0,0.0012977911594466219
1893,0.0,0.0,0.0,0.0012977911594466219
18th,0.0,0.0,0.0008143985666585227,0.0012977911594466219
19,0.0011881141064787862,0.0,0.0008143985666585227,0.0
1st,0.0011881141064787862,0.0,0.0,0.0
2,0.0011881141064787862,0.0016631186801490153,0.0016287971333170453,0.0
20,0.0023762282129575723,0.0,0.0008143985666585227,0.0
200,0.0,0.0016631186801490153,0.0,0.0
21,0.0011881141064787862,0.0,0.0008143985666585227,0.0
22,0.0011881141064787862,0.0,0.0008143985666585227,0.0
23,0.0011881141064787862,0.0,0.0008143985666585227,0.0
24,0.0011881141064787862,0.0,0.0008143985666585227,0.0
25,0.0,0.0,0.0008143985666585227,0.0
26,0.0,0.0,0.0008143985666585227,0.0
26th,0.0,0.0,0.0008143985666585227,0.0
27,0.0,0.0,0.0008143985666585227,0.0
2704,0.0,0.004989356040447046,0.0,0.0
28,0.0,0.0,0.0008143985666585227,0.0
29,0.0,0.0,0.0008143985666585227,0.0
29th,0.0011881141064787862,0.0,0.0,0.0
