,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
the,-0.7519371617017665,0.8310161827265752,-1.1808232285382427,1.1017442075134332
of,0.07340670191032128,-0.33069849426277775,-0.040882124669550546,0.2981739170220079
and,0.41100221982762886,-0.20816006703037537,0.0030871845911728535,-0.2059293373884259
to,0.49067321723360324,-0.4373553449030543,0.543161242107284,-0.5964791144378325
a,-0.13426816264573382,0.14272283379521689,-0.43716096466198584,0.4287062935125041
i,-0.5977945258145294,0.5581170013665402,-0.2515017413468359,0.29117926579482467
in,0.07335289371216591,-0.058510245210816825,-0.04586829486884536,0.031025646367496496
was,0.12911150728735743,-0.12391275291512027,0.04479709954351163,-0.049995853915748345
it,-0.20588473552376607,0.2389395702216104,-0.19148857392788932,0.15843373923004545
that,-0.3686570082094298,0.4860341199667544,-0.13226711050322892,0.014889998745904576
he,-0.02854252586870243,0.3580858848621291,-0.08065490000571263,-0.2488884589877145
you,-0.2817965769753594,0.35910874340024157,0.07720661911157811,-0.1545187855364608
had,0.3972129341841302,-0.17035234394430843,-0.05334328314262904,-0.1735173070971926
his,-0.1724819291828278,0.19043964527032387,0.07965145287063446,-0.09760916895813065
her,0.5391668701720449,-0.6169079318038262,0.9223430939201163,-0.8446020322883354
as,0.1112131090106222,-0.17640813767036467,0.11183350409299941,-0.046638475433257054
not,0.273855862898699,-0.21383632617675552,0.32548964350256593,-0.38550918022450953
with,-0.032571487167122326,-0.07449965617838361,0.04714917932051754,0.05992196402498817
be,0.3220937731489154,-0.25778546355675647,0.20242519608397813,-0.26673350567613685
she,0.6004933785635352,-0.5332381282807388,0.6315361615249199,-0.6987914118077161
for,0.07927721518856334,-0.06220961242935186,0.10254302256609571,-0.1196106253253072
have,-0.03536442711490562,0.1645835701297066,-0.049440042704434584,-0.07977910031036661
but,0.08184956642306218,-0.04181072821924581,0.10896916351298791,-0.1490080017168045
is,-0.23270505417575083,0.332211587858678,-0.005191701227978296,-0.09431483245494887
at,0.010677835304627292,-0.017211783874324205,0.019159087078350123,-0.012625138508653544
which,-0.12160622062198168,0.07599568202483364,-0.17690086148821305,0.22251140008536097
my,-0.33573932700507936,0.1959450750415297,-0.02002259472232204,0.1598168466858717
we,-0.3748151973362188,0.21604042110901056,-0.3529300464758244,0.5117048227030325
him,0.0644022377384893,0.033435334259836025,0.13175345494000745,-0.2295910269383329
all,0.15460884143174192,-0.11752111876997651,0.03309307059290334,-0.07018079325466875
