,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
the,-0.8553380851165255,0.9452914773164397,-1.343201441026267,1.2532480488263518
of,0.36223923938228586,-1.6318941991558484,-0.20174056808493604,1.4713955278585031
and,1.8211276745347276,-0.9223455264086075,0.013679140949019574,-0.9124612890751378
to,1.054369731101488,-0.93979907850094,1.1671571886768695,-1.2817278412774167
a,-0.46701105625083633,0.49641806403265476,-1.5205317465846429,1.491124738802829
i,-1.478954390924695,1.380791482986689,-0.6222198240830217,0.7203827320210265
in,1.5054493734680108,-1.2008280455809026,-0.9413724841355041,0.6367511562484004
was,1.5105045680274698,-1.449683171141137,0.5240913448888336,-0.5849127417751612
it,-1.146461840986547,1.3305265145758238,-1.0662973261945143,0.88223265260524
that,-1.3202519030617903,1.74060836373558,-0.4736812279862292,0.05332476731244016
he,-0.1436163585769029,1.8017673375599197,-0.40582824006147655,-1.2523227389215423
you,-1.2910557299001255,1.6452627132680038,0.3537234165869069,-0.7079303999547878
had,1.8947074615110109,-0.8125814377624231,-0.25444769767991054,-0.8276783260686766
his,-1.3477686396794535,1.488089696486163,0.6223940721938249,-0.7627151290005353
her,0.8063727693873899,-0.9226415511527306,1.379447432911393,-1.263178651146053
as,1.0310772466838045,-1.6355123824872517,1.0368290439232162,-0.43239390811977
not,0.999601987486933,-0.7805245225743325,1.1880705824871491,-1.40714804739975
with,-0.6533984603485844,-1.4944961031005763,0.9458334222399976,1.2020611412091586
be,1.355489473430216,-1.084856372224744,0.8518799347357197,-1.122513035941191
she,1.0848061551214225,-0.9633078804101554,1.1408857110844954,-1.2623839857957622
for,0.9478597020815209,-0.7437948540906727,1.2260319511583937,-1.430096799149242
have,-0.41028658686929315,1.9094450766549758,-0.573587303138438,-0.9255711866472474
but,0.8875206153277335,-0.4533668882818913,1.1815869439418982,-1.6157406709877429
is,-1.249447925834548,1.7837218055209765,-0.02787545957618532,-0.5063984201102432
at,0.7801207641763123,-1.2574898943287274,1.3997595229817708,-0.92239039282938
which,-0.8540611215022348,0.5337305697643263,-1.2424047666688574,1.5627353184067652
my,-1.7841436241759876,1.0412666262321473,-0.10640154977361407,0.8492785477174544
we,-1.1066550209191912,0.6378669233289388,-1.0420383451404232,1.5108264427306752
him,0.5246660981085589,0.2723878390110593,1.0733566649716397,-1.8704106020912588
all,1.6531100730704353,-1.2565603845037903,0.3538380330604302,-0.7503877216270752
s,1.3165258972432567,-0.7659043783745061,0.8490908628861226,-1.3997123817548724
were,0.8252292608218668,-1.8452665916263187,0.06631279729033611,0.9537245335141148
